Time,Temperature,Frequency,Magnitude
0.00,23.36,0.0000,1424.65
1.00,23.36,0.0167,6.52
2.00,23.36,0.0333,3.87
3.00,23.36,0.0500,2.18
4.00,23.29,0.0667,1.08
5.00,23.47,0.0833,1.03
6.00,23.59,0.1000,0.67
7.00,23.68,0.1167,0.53
8.00,23.75,0.1333,0.17
9.00,23.82,0.1500,0.20
10.00,23.87,0.1667,0.07
11.00,23.91,0.1833,0.11
12.00,23.96,0.2000,0.10
13.00,23.98,0.2167,0.25
14.00,24.00,0.2333,0.24
15.00,24.03,0.2500,0.26
16.00,24.05,0.2667,0.37
17.00,24.07,0.2833,0.21
18.00,24.07,0.3000,0.30
19.00,24.05,0.3167,0.21
20.00,24.03,0.3333,0.20
21.00,24.00,0.3500,0.09
22.00,23.98,0.3667,0.09
23.00,23.93,0.3833,0.06
24.00,23.93,0.4000,0.11
25.00,23.91,0.4167,0.09
26.00,23.89,0.4333,0.14
27.00,23.82,0.4500,0.15
28.00,23.82,0.4667,0.24
29.00,23.82,0.4833,0.20
30.00,23.80,0.5000,0.21
31.00,23.80,0.5167,0.20
32.00,23.80,0.5333,0.24
33.00,23.80,0.5500,0.15
34.00,23.77,0.5667,0.14
35.00,23.77,0.5833,0.09
36.00,23.75,0.6000,0.11
37.00,23.75,0.6167,0.06
38.00,23.73,0.6333,0.09
39.00,23.73,0.6500,0.09
40.00,23.70,0.6667,0.20
41.00,23.70,0.6833,0.21
42.00,23.68,0.7000,0.30
43.00,23.68,0.7167,0.21
44.00,23.68,0.7333,0.37
45.00,23.66,0.7500,0.26
46.00,23.66,0.7667,0.24
47.00,23.64,0.7833,0.25
48.00,23.64,0.8000,0.11
49.00,23.64,0.8167,0.11
50.00,23.64,0.8333,0.07
51.00,23.64,0.8500,0.20
52.00,23.61,0.8667,0.17
53.00,23.61,0.8833,0.52
54.00,23.61,0.9000,0.67
55.00,23.61,0.9167,1.03
56.00,23.61,0.9333,1.08
57.00,23.59,0.9500,2.18
58.00,23.59,0.9667,3.87
59.00,23.59,0.9833,6.52
